"id"	"chrom"	"start"	"end"	"width"	"motif"	"Bind4"	"Bind2_noPi"	"Bind2_hiPi"	"Gene"	"G_dep2"	"R32v46"	"R43v49.no30.new"	"R43v49.no90.new"	"CgPho2.enrichment.High.Pi"	"CgPho2.enrichment.No.Pi"	"CgPho4.enrichment.High.Pi.no.pho2"	"CgPho4.enrichment.High.Pi.with.Pho2"	"CgPho4.enrichment.No.Pi.no.pho2"	"CgPho4.enrichment.No.Pi.with.Pho2"	"Motif"	"Ratio.Cgla4.no.Pi"	"B_dep2"	"GeneID"	"Location"	"annotation"	"comment"	"Fun_4"	"sCgla4.w.cg2"	"sCgla4.alone"	"sCgla2.w.cg4"	"bCgla4.w.cg2"	"bCgla4.alone"	"bCgla2.w.cg4"
17	"Chr11"	742617	743184	568	2	1	1	0	2	0	0.65	0.967	1.352	1.123	1.52	0.937	1	10.387	13.758	3.6862665033	1.32454029074805	FALSE	"CAGL0K07524g"	"upstream"	""	""	1	0	0	0	1.21030936507284	1.02960798906272	0.193459823034592
18	"Chr11"	743508	744007	500	2	1	1	0	2	1	0.89	1.02	1.187	1.055	2.528	1.638	1.75	12.022	13.395	3.6862665033	1.11420728664116	FALSE	"CAGL0K07546g"	"upstream"	""	"both PHO4 and PHO2 binding are spread out, for about 2-3kb"	1	1	1	1	11.7725305531397	9.38748135902951	3.21079097478868
19	"Chr11"	1031304	1031803	500	1	1	1	1	1	1	1.12	1.061	1.34	6.873	10.482	1.251	1.416	3.964	5.527	1.9160650343	1.39429868819374	FALSE	"CAGL0K10604g"	"upstream"	""	"strong PHO2 peak, appears to be PHO2 dependent"	1	1	0	1	1.23576817458599	0.800472483715013	1.11853244552869
20	"Chr11"	1166459	1166980	522	2	1	1	0.5	1	2	0.6	0.804	0.909	2.281	5.229	1.084	0.856	28.598	31.261	3.6862665033	1.0931183998881	FALSE	"CAGL0K12034g"	"upstream"	"ENA1 is highly upregulated by increased osmotic pressure or sodium concentration"	"PHO4 binding is independent of PHO2, but putative target gene induction is abolished in pho2∆."	1	0	0	0	0.699424967417789	-0.0879903811643352	0.640401139778817
21	"Chr12"	95051	95948	898	2	1	1	0	1	1	1.06	0.921	1.562	1.037	1.318	1.377	1.481	3.573	7.882	3.6862665033	2.20598936467954	TRUE	"CAGL0L00737g"	"upstream"	"signal transduction in Golgi, ER, mito"	"PHO4 peak only present in 43no90, no PHO2 peak coincide, no putative candidate gene downstream"	-1	0	0	0	0.531455683486569	-0.210527821367267	0.821367135153713
21	"Chr12"	95051	95948	898	2	1	1	0	1	1	1.06	0.921	1.562	1.037	1.318	1.377	1.481	3.573	7.882	3.6862665033	2.20598936467954	TRUE	"CAGL0L00759g"	"upstream"	"ATP phosphoribosyltransferase, the gene product is an enzyme that catalyses the first step in the biosynthesis of histidine"	"PHO4 peak only present in 43no90, no PHO2 peak coincide, no putative candidate gene downstream"	0.5	0	0	0	0.845169987526328	0.288682722124888	0.531216849235736
22	"Chr12"	103000	104500	1500	1	1	1	1	-1	0	0.92	0.815	1.05	3.893	6.213	1.389	1.458	4.46	4.097	2.3200645243	0.918609865470852	FALSE	"CAGL0L00803g"	"downstream"	"glycogen biosynthesis"	"PHO4 peak very weak, PHO2 strong"	-1	0	0	0	0.495525773073501	0.680900063618152	-0.0687848282716974
23	"Chr12"	205498	205997	500	1	0	1	0.5	0	0	0.73	1.173	1.781	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0L01771g"	"downstream"	""	"PHO4 peak only present in 43no90, strong PHO2 peak coincide"	0	0	0	0	1.01415460370843	0.695838060088921	0.0177611787710044
24	"Chr12"	277254	277753	500	2	0.5	1	1	0	0	1	0.632	1.198	3.284	5.211	0.702	0.705	3.197	3.977	3.6862665033	1.24397873005943	FALSE	NA	""	""	"PHO2 peak nearby, PHO4 binding weak"	0	NA	NA	NA	NA	NA	NA
25	"Chr12"	285607	286106	500	0	0	1	1	0	0	1.22	1.045	1.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"PHO2 peak nearby, PHO4 binding weak"	0	NA	NA	NA	NA	NA	NA
26	"Chr12"	467561	468060	500	2	0.5	0	0	0	0	0.57	0.969	1.254	1.19	1.025	1.753	1.443	3.424	3.31	3.6862665033	0.966705607476636	FALSE	"CAGL0L03982g"	"gene body"	""	"no PHO2 peak"	0	1	0	0	1.7352323667743	0.526667758271889	0.777449311582147
27	"Chr12"	601480	601979	500	2	1	1	0	1	2	0.7	0.95	1.409	1.44	1.938	2.014	1.761	9.177	13.66	3.6862665033	1.48850386836657	FALSE	"CAGL0L05456g"	"upstream"	""	"no PHO2 peak"	1	1	1	0	2.49308074208248	1.7515916036737	0.537213062479367
28	"Chr12"	725805	726304	500	2	1	1	0.5	1	1	0.6	0.67	0.923	2.354	6.11	0.532	0.695	11.015	10.429	3.6862665033	0.946799818429414	FALSE	"CAGL0L06424g"	"upstream"	"another GPI-anchored adhesin-like protein"	"strong PHO2 peak"	0.5	0	0	0	-0.305405312746982	0.937509335985908	0.00663297064168411
29	"Chr12"	749565	750067	503	2	1	1	0	2	1	0.54	0.939	1.252	1.462	3.071	3.316	2.506	8.816	11.112	3.6862665033	1.26043557168784	FALSE	"CAGL0L06622g"	"upstream"	""	"very weak PHO2 binding"	1	1	1	0	1.59407650484559	1.14116268103691	0.331960359817487
29	"Chr12"	749565	750067	503	2	1	1	0	2	1	0.54	0.939	1.252	1.462	3.071	3.316	2.506	8.816	11.112	3.6862665033	1.26043557168784	FALSE	"CAGL0L06644g"	"upstream"	"cellular response to starvation / biotic stress"	"very weak PHO2 binding"	1	1	1	0	1.34617376723	1.12337131147552	0.404764365604333
30	"Chr12"	830176	830686	511	1	1	1	0	1	1	0.69	1.039	1.013	2.314	5.05	0.856	0.686	11.076	9.512	2.3200645243	0.858793788371253	FALSE	"CAGL0L07502g"	"upstream"	""	"PHO2 peak nearby"	1	0	1	0	0.44722303865772	1.12466289380489	0.319614192837934
31	"Chr12"	1002961	1003460	500	2	0	0	0	0	0	1.18	1.078	1.419	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0L09229g"	"gene body"	""	"no PHO2 peak, PHO4 peak only in 43no90"	0	0	0	0	0.304461578454107	0.373102341281529	-0.0697521246811332
32	"Chr12"	1011275	1011839	565	2	1	1	0	-1	-1	0.56	1.339	1.357	2.044	5.08	0.888	0.833	8.313	13.222	3.6862665033	1.59052087092506	FALSE	"CAGL0L09273g"	"upstream"	""	"strong PHO2 peak"	-1	0	0	0	1.4508573888332	0.755029423734359	0.547164947401925
33	"Chr12"	1012203	1012702	500	1	1	1	1	0	0	1.48	1.415	2.278	3.261	4.102	1.674	1.808	2.609	7.118	1.9160650343	2.72824837102338	TRUE	NA	""	""	"strong PHO2 peak, no PHO4 motif, PHO4 peak only in 43no90, appears to be example of PHO2 recruiting PHO4"	0	NA	NA	NA	NA	NA	NA
34	"Chr12"	1306404	1306906	503	2	1	0	0	-1	0	0.8	1.597	1.125	1.149	1.335	2.044	1.545	8.453	8.954	3.6862665033	1.05926889861588	FALSE	"CAGL0L12144g"	"gene body"	""	"no PHO2 peak"	0	0	0	0	0.475080291237718	0.599976565184149	0.0971308451078761
35	"Chr13"	222521	223021	501	1	1	1	0.5	1	0	0.84	1.185	1.483	2.845	5.021	1.007	1.317	4.953	8.094	2.1180647793	1.63416111447607	FALSE	"CAGL0M01870g"	"upstream"	""	"PHO2 peak strong and spread, seems to be recruiting PHO4 here"	1	0	0	0	1.12880983346413	1.23553132102853	0.237318809755745
36	"Chr13"	226380	227223	844	2	1	1	0.5	-1	0	0.66	1.524	2.262	4.578	12.463	1.638	1.231	10.785	23.741	3.6862665033	2.20129809921187	TRUE	"CAGL0M01870g"	"upstream"	""	"PHO2 peak coincide; PHO4 peak strong, not dependent on PHO2, but too far away from the putative target gene, likely non-functional"	0.5	0	0	0	1.12880983346413	1.23553132102853	0.237318809755745
37	"Chr13"	323916	324416	501	1	1	0.5	0.5	1	2	0.61	0.763	1.283	1.365	2.039	1.887	1.617	17.006	22.411	2.3200645243	1.31782900152887	FALSE	"CAGL0M02871g"	"upstream"	""	"very strong PHO4 binding, but no PHO2 peak, and no PHO4 motifs other than CGCGTG"	1	1	1	0	1.44065149612468	0.868037434018522	0.390859331359721
38	"Chr13"	463773	464272	500	1	0	0.5	0	-1	0	1.92	1.084	1.089	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0M04191g"	"upstream*"	""	"very weak PHO4 binding, if at all, peak inside another gene's body"	0	0	0	0	0.79684831036917	0.986275673877814	0.120176941736913
39	"Chr13"	550831	551330	500	2	0	0	0	1	0	0.88	0.758	1.193	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0M05137g"	"upstream"	""	"no PHO2 peak coincide, yet PHO2 peak nearby coinciding with two tRNA genes"	0	0	0	0	0.581678435776654	0.125609910054918	0.227936053351721
40	"Chr13"	660957	661456	500	2	1	0	0	1	0	0.98	0.573	0.729	1.107	1.15	1.361	1.327	4.867	2.745	3.6862665033	0.564002465584549	FALSE	"CAGL0M06325g"	"upstream*"	"TF activity"	"peak only in 43 and 49, not 32 or 46, another similar strength peak closer to the putative target gene"	0.5	1	1	0	1.32178839945331	1.74045963093528	0.0260793889562985
41	"Chr13"	761517	762016	500	1	0.5	0	0	0	0	1.46	0.837	0.599	1.203	1.372	1.993	2.174	7.233	3.579	2.3200645243	0.494815429282455	FALSE	NA	""	""	"only present in 43no90 and 49no90, no motif, no PHO2 peak, no putative gene target"	0	NA	NA	NA	NA	NA	NA
42	"Chr13"	763060	763559	500	1	1	1	0.5	1	2	1.16	0.824	1.147	1.946	2.301	1.216	1.443	7.311	9.442	1.9160650343	1.2914785938996	FALSE	"CAGL0M07634g"	"upstream"	"TF activity"	"PHO4 binding in 43 and 49, not 32 or 46, PHO2 peak coincide"	1	0	0	0	0.92656780696087	-0.109188341851494	1.13365688432363
43	"Chr13"	852605	853104	500	2	1	1	0	1	1	0.72	0.625	0.778	1.664	4.138	1.671	1.961	27.789	21.672	3.6862665033	0.779876929720393	FALSE	"CAGL0M08514g"	"upstream*"	"predicted GPI-anchor"	"very strong PHO4 binding, yet the peak is located in a gene's body, while nearby genes in both directions are at least 1.5 kb away. In particular, up-regulation of PIR5, the nearest gene to the left of the peak, may not be direct targets of PHO4, given that another gene further left, PIR3, is also up-regulated, but is in opposite direction, i.e. binding is in its' 3'"	0.5	0	0	0	0.278983667474796	0.826666484161715	0.372939227615516
44	"Chr13"	1081416	1081915	500	1	1	0	0	1	0	1.09	0.524	0.896	1.221	1.042	0.865	0.911	3.414	3.353	2.3200645243	0.982132396016403	FALSE	"CAGL0M10829g"	"upstream"	""	"very weak PHO4 binding, if at all."	0.5	0	0	0	0.735529977239014	0.561387850734879	0.21069298850697
45	"Chr13"	1160948	1161916	969	2	1	1	0.5	1	0	0.8	1.232	1.653	2.419	8.819	2.417	1.834	4.861	10.619	3.6862665033	2.18452993211273	TRUE	"CAGL0M11660g"	"upstream"	"(response to anaerobic and osmotic stress)"	"one of the most strongly induced genes, strong PHO2 peak, strong PHO4 peak, PHO4 binding appears to be slightly lower in pho2∆ strains"	1	1	1	0	4.89750425021087	4.50006454234703	1.36531549149964
46	"Chr13"	1304835	1305334	500	2	0.5	0	0	-1	0	1.17	0.775	1.344	1.201	1.103	2.399	2.666	2.408	2.948	3.6862665033	1.22425249169435	FALSE	NA	""	""	"PHO4 peak barely present in 43no90, not at all in other samples"	0	NA	NA	NA	NA	NA	NA
47	"Chr13"	1310295	1310797	503	2	1	0	0	0	0	0.7	1.117	1.384	2.042	3.13	4.521	4.898	9.261	14.703	3.6862665033	1.58762552640104	FALSE	NA	""	""	"PHO4 binding strong, PHO2 peak nearby, consensus motif; but no obvious target gene. Likely non-functional"	0	NA	NA	NA	NA	NA	NA
48	"Chr2"	89413	89912	500	2	0.5	1	1	-1	0	1.14	0.744	1.131	1.442	2.343	1.899	1.494	3.261	5.332	3.6862665033	1.63508126341613	FALSE	"CAGL0B00990g"	"upstream"	""	""	0	0	0	0	-0.0920553248935669	1.09709171521715	-0.92930053026038
49	"Chr2"	235123	236105	983	2	1	1	0	2	0	0.79	0.866	1.178	1.706	12.373	2.054	1.964	62.714	60.567	3.6862665033	0.965765219887107	FALSE	"CAGL0B02453g"	"upstream"	""	""	1	1	1	0	1.55116600582579	1.22853514897581	0.373044670429637
49	"Chr2"	235123	236105	983	2	1	1	0	2	0	0.79	0.866	1.178	1.706	12.373	2.054	1.964	62.714	60.567	3.6862665033	0.965765219887107	FALSE	"CAGL0B02475g"	"upstream"	""	""	1	1	1	0	9.6976479105659	10.5953504684713	0.448601398892521
50	"Chr2"	287490	287989	500	1	1	1	1	1	1	1.02	1.234	1.446	3.33	4.603	1.765	1.727	7.261	13.548	2.1180647793	1.86585869714915	FALSE	"CAGL0B02926g"	"upstream"	""	"appears to be associated with BMT3 induction. However, it is within a cluster of 5 BMT genes, all of which show PHO4 dependent induction, while only BMT3 is directly downstream of this peak"	1	1	1	0	8.00811474930065	6.35050603623442	2.15887170124764
51	"Chr3"	108531	109030	500	0	0	0	0	0	0	1.16	1.48	1.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"located within a poorly mapped region, peak likely spurious"	0	NA	NA	NA	NA	NA	NA
52	"Chr3"	149148	149650	503	2	1	0	0	0	0	0.77	0.781	1.181	1.025	0.923	1.068	1.337	4.341	5.426	3.6862665033	1.24994240958305	FALSE	"CAGL0C01397g"	"gene body"	""	"peak in gene body, corresponding to a consensus motif, but likely non-functional. PHO2 binding evident in the 5'UTR of this gene, whose induction appears to be PHO2 rather than PHO4 dependent"	0	1	0	0	1.86689086390008	0.405510789991896	0.701656498331265
53	"Chr3"	195405	195907	503	2	1	1	1	1	2	0.81	1.29	1.278	1.133	1.705	0.794	0.994	4.078	5.18	3.6862665033	1.27023050514958	FALSE	"CAGL0C01881g"	"upstream*"	"predicted phospholipid binding ability"	"peak in another gene's body."	1	0	0	0	0.361911934796081	0.258195249510564	0.208330607523123
54	"Chr3"	289467	289969	503	2	1	1	1	1	1	1	1.076	1.473	4.753	7.012	1.477	1.526	5.487	11.153	3.6862665033	2.03262256242027	TRUE	"CAGL0C02937g"	"upstream"	""	"no obvious target gene, binding explained by consensus motif, yet is likely non-functional"	-1	0	0	0	0.166197602453402	0.576704594664936	0.147813996290236
55	"Chr3"	447080	447582	503	2	0.5	1	1	-1	0	0.7	0.644	0.967	2.09	2.164	1.749	1.905	12.744	10.821	3.6862665033	0.849105461393597	FALSE	"CAGL0C04741g"	"upstream*"	""	"PHO2 peak nearby"	-1	0	1	0	0.565948896611073	1.35515617861381	0.139654019013287
56	"Chr4"	116713	117212	500	1	0	0	0	0	0	1.95	1.331	1.618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"spurious"	0	NA	NA	NA	NA	NA	NA
57	"Chr4"	140721	141223	503	2	1	1	0	1	0	0.88	0.647	1.108	2.59	4.746	1.231	1.097	7.112	9.085	3.6862665033	1.27741844769404	FALSE	"CAGL0D01276g"	"upstream"	""	"PHO2 peak nearby; putative target is the 2nd gene downstream, <2 fold induced"	0.5	0	0	0	0.713060273680982	0.993055327044133	0.156238020800788
58	"Chr4"	144155	144654	500	1	0.5	1	1	1	0	1.25	0.912	1.703	2.699	3.888	1.174	1.449	2.831	4.181	2.1180647793	1.47686329918757	FALSE	NA	""	""	"no motif, both PHO4/2 binding are weak, likely false positive"	0	NA	NA	NA	NA	NA	NA
59	"Chr4"	427700	427900	200	2	0.5	0	0	1	1	2.24	3.049	1.947	1.411	1.744	2.49	2.839	2.552	3.475	3.6862665033	1.36167711598746	FALSE	"CAGL0D04378g"	"upstream"	""	"this site was not predicted by GEM, which picks out a  site nearby in 43no90. But this one looks more like a  functional one"	0.5	1	0	1	1.23753229897981	0.179905296150897	0.828598557302544
60	"Chr4"	512639	513138	500	2	0	0	0	1	0	0.72	0.754	0.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0D05324g"	"upstream"	""	"very weak PHO4 binding, if at all."	0	0	0	0	0.397057558195177	0.343068983388093	0.0345836183318058
61	"Chr4"	515381	515880	500	2	0.5	1	0.5	1	1	0.93	0.841	1.602	2.455	6.523	1.329	1.104	3.275	5.317	3.6862665033	1.62351145038168	FALSE	"CAGL0D05390r"	"upstream"	""	"PHO4 binding evident in 43no90 only; putative target gene is weakly induced when both PHO4/2 are present"	0.5	NA	NA	NA	NA	NA	NA
62	"Chr4"	521294	521793	500	1	1	1	1	1	0	0.65	0.684	0.949	2.326	9.338	0.872	1.013	16.412	17.083	1.9160650343	1.04088471849866	FALSE	"CAGL0D05434g"	"upstream"	""	"PHO2 peak strong and spread; putative target gene is ~2.3 kb downstream"	1	0	1	0	0.941774698949434	1.26579021551463	-0.0331088116859046
63	"Chr4"	565355	565854	500	2	0	0	0	0	0	1.17	0.695	1.227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"spurious"	0	NA	NA	NA	NA	NA	NA
64	"Chr4"	622101	622600	500	1	1	1	1	1	1	0.86	1.282	1.895	4.379	6.404	1.996	1.621	2.92	8.83	2.3200645243	3.02397260273973	TRUE	"CAGL0D06512g"	"upstream"	""	"PHO4 binding strong in 43no90, almost absent in 49no30 or 49no90, no motif directly underlying the peak, but a one-off motif to the right. Putative target gene appears to be PHO2 independent based on induction statistics"	0.5	0	0	0	1.16645101411813	1.61540693716423	0.796357728266296
65	"Chr5"	16782	17281	500	0	0	0	0	0	0	1.28	1.152	0.683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"spurious"	0	NA	NA	NA	NA	NA	NA
66	"Chr5"	106639	107138	500	1	0.5	0.5	0	1	0	1.45	0.886	1.349	1.732	1.718	2.878	2.548	5.2	6.054	2.1180647793	1.16423076923077	FALSE	"CAGL0E01177g"	"upstream"	""	""	0.5	0	0	0	0.725555853867155	0.94643987967256	-0.118475091062926
67	"Chr5"	185511	186010	500	1	1	1	0.5	2	0	0.83	1.479	1.995	3.117	5.796	1.662	1.978	5.655	11.809	2.3200645243	2.08824049513705	TRUE	"CAGL0E01837g"	"upstream"	""	"a cluster of YPS6,8-11 genes, all of which are up-regulated; PHO4 binding upstream of YPS9 only"	1	1	0	1	0.860114959582837	0.745047897972908	0.839135813246793
68	"Chr5"	341209	341711	503	2	1	0	0	-1	0	0.64	1.083	1.061	1.458	1.61	1.378	1.424	10.112	11.609	3.6862665033	1.14804193037975	FALSE	"CAGL0E03652g"	"downstream"	""	"PHO4 binding in 3'UTR of the gene, which shows <2 fold induction with or without PHO2"	0	0	0	0	0.395357349895399	0.701031832232011	-0.256301937216016
69	"Chr5"	347487	347986	500	2	0.5	0	0	0	0	0.62	0.735	0.8	1.098	1.317	1.282	1.271	4.881	3.515	3.6862665033	0.720139315713993	FALSE	NA	""	""	"PHO2 peak approximately 1kb from PHO4, no clear gene target"	0	NA	NA	NA	NA	NA	NA
70	"Chr5"	437184	437683	500	1	0.5	1	1	2	0	0.61	0.597	0.768	3.996	3.852	0.684	0.635	5.541	3.941	1.9160650343	0.711243457859592	FALSE	"CAGL0E04548g"	"upstream"	""	"PHO4 binding evident in 43no90 and 49no90, weak in 30' starved, and not visible in 32 or 46; PHO2 peak is strong and spread"	1	0	0	0	0.952959871765102	0.688959124673942	0.274724660117263
70	"Chr5"	437184	437683	500	1	0.5	1	1	2	0	0.61	0.597	0.768	3.996	3.852	0.684	0.635	5.541	3.941	1.9160650343	0.711243457859592	FALSE	"CAGL0E04554g"	"upstream"	"Up-regulated in azole-resistant strain"	"PHO4 binding evident in 43no90 and 49no90, weak in 30' starved, and not visible in 32 or 46; PHO2 peak is strong and spread"	1	0	1	0	1.44691500288406	3.63267805724674	-0.738608062263702
71	"Chr5"	549912	550675	764	2	1	1	0.5	2	2	1	0.986	1.069	3.056	11.795	2.122	1.85	33.893	40.175	3.6862665033	1.18534800696309	FALSE	"CAGL0E05566g"	"upstream"	""	""	1	1	1	0	1.0267002066103	1.1898686580933	0.0884022888196947
71	"Chr5"	549912	550675	764	2	1	1	0.5	2	2	1	0.986	1.069	3.056	11.795	2.122	1.85	33.893	40.175	3.6862665033	1.18534800696309	FALSE	"CAGL0E05588g"	"upstream"	"DNA polymerase activity, involved in translesion synthesis"	"strong PHO2 binding, but"	1	1	0	0	1.35308420134738	0.657853148035573	0.466014599341841
72	"Chr5"	592307	592806	500	1	1	0.5	0	1	1	0.74	0.598	1.029	2.054	2.605	1.319	1.335	6.955	6.687	1.9160650343	0.961466570812365	FALSE	"CAGL0E05940g"	"upstream"	""	"no motif, PHO2 binds, PHO4 peak in 43 and 49 only, however, PHO4 binding not PHO2 dependent"	1	0	0	0	0.517552898790143	0.438222343357675	0.271715741596013
73	"Chr5"	594112	594611	500	1	0	0	0	2	1	1.39	0.82	3.172	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0E05984g"	"upstream"	""	"PHO4 binding is only evident in 43no90, even though PHO2 peak not coincide. Weirdly, one of the putative genes shows signs of PHO2 dependence"	-1	1	1	1	5.48073809028648	3.02970996649714	3.11602513165211
73	"Chr5"	594112	594611	500	1	0	0	0	2	1	1.39	0.82	3.172	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CAGL0E05962g"	"upstream*"	""	"PHO4 binding is only evident in 43no90, even though PHO2 peak not coincide. Weirdly, one of the putative genes shows signs of PHO2 dependence"	-1	1	0	0	1.36352599585719	0.953465729514878	0.487011990060851
